Date,Type,Category,Account,Description,Amount
2025-10-11,Income,Other,SBIcc,bill,4346.0
2025-10-11,Expense,ayyappa,HDFC,centering,27000.0
2025-10-11,Expense,Other,nCChdfc,tatasky,200.0
2025-10-11,Expense,Other,HDFC,ccbill,13230.0
2025-10-10,Expense,Other,HDFC,ration,70.0
2025-10-10,Income,Other,SBIcc,bill,15595.0
2025-10-10,Expense,Other,nCChdfc,petrol,350.0
2025-10-10,Expense,Other,SBIcc,welding,100.0
2025-10-10,Expense,Other,SBIcc,lic,1200.0
2025-10-09,Expense,Other,HDFC,milk,100.0
2025-10-09,Expense,Other,nCChdfc,recharge,100.0
2025-10-09,Expense,Other,SBIcc,ration,80.0
2025-10-09,Expense,Other,HDFC,transfer,4500.0
2025-10-09,Expense,Other,cash,maintenance,1200.0
2025-10-09,Expense,Other,cash,maintenance,1200.0
2025-10-09,Income,Other,FAxisCC,cb,417.0
2025-10-08,Expense,ramarao,HDFC,dhukku,1500.0
2025-10-08,Expense,Other,cash,transfer,4500.0
2025-10-08,Income,Other,SBIcc,bill,12419.0
2025-10-08,Expense,Other,nCChdfc,vegetables,310.0
2025-10-08,Expense,Other,HDFC,milk,70.0
2025-10-07,Expense,Other,nCChdfc,kirana,170.0
2025-10-07,Expense,Other,HDFC,victory bazaar,57.0
2025-10-07,Expense,ksn,nCChdfc,train,556.0
2025-10-07,Expense,Other,cash,misc,200.0
2025-10-07,Income,Other,LICICI,commission,8592.0
2025-10-07,Expense,Other,HDFC,milk,30.0
2025-10-06,Expense,Other,HDFC,fascino,70.0
2025-10-06,Expense,Other,HDFC,plumbing,400.0
2025-10-05,Expense,Other,nCChdfc,reliance,74.0
2025-10-05,Expense,Other,nCChdfc,geyser,150.0
2025-10-05,Expense,mavayya garu,HDFC,permit,300.0
2025-10-05,Income,Other,SBIcc,bill,3557.0
2025-10-05,Expense,Other,SBIcc,dmart,1884.0
2025-10-04,Expense,Other,SBIcc,washing machine,26.0
2025-10-04,Expense,Other,HDFC,kirana,465.0
2025-10-04,Income,Other,HDFC,cb,5.0
2025-10-04,Expense,Other,SBIcc,charges,593.0
2025-10-03,Income,Other,HDFC,received,40000.0
2025-10-03,Income,Other,kotak,zerodha,59000.0
2025-10-03,Expense,Other,cash,food,300.0
2025-10-03,Expense,Other,SBIcc,washing machine,58.0
2025-10-03,Expense,Other,nCChdfc,banana,100.0
2025-10-03,Income,Other,SBIcc,bill,8268.0
2025-10-03,Expense,Other,HDFC,lekari,30000.0
2025-10-03,Expense,Other,nCChdfc,duty,88386.0
2025-10-03,Expense,Other,nCChdfc,prawns,530.0
2025-10-03,Expense,Other,SBIcc,kirana,1215.0
2025-10-03,Expense,Other,HDFC,oxygen,240.0
2025-10-02,Expense,Other,HDFC,chetak,632.0
2025-10-02,Expense,Other,nCChdfc,petrol,100.0
2025-10-02,Expense,Other,HDFC,ration,240.0
2025-10-02,Expense,Other,HDFC,transfer,1000.0
2025-10-02,Expense,Other,HDFC,tiffin,50.0
2025-10-01,Expense,Other,HDFC,ration,219.0
2025-10-01,Expense,Other,SBIcc,vegetables,650.0
2025-10-01,Expense,Other,nCChdfc,cinema,100.0
2025-10-01,Expense,Other,HDFC,sand,15000.0
2025-10-01,Expense,Other,cash,beta,200.0
2025-10-01,Expense,Other,SBIcc,washing machine,116.0
2025-10-01,Expense,Other,SBIcc,kaaram,490.0
